label,uri
dssc+der,https://www.iana.org/assignments/media-types/application/dssc+der
dssc+xml,https://www.iana.org/assignments/media-types/application/dssc+xml
dvcs,https://www.iana.org/assignments/media-types/application/dvcs
ecmascript,https://www.iana.org/assignments/media-types/application/ecmascript
EDI-consent,https://www.iana.org/assignments/media-types/application/EDI-consent
EDIFACT,https://www.iana.org/assignments/media-types/application/EDIFACT
EDI-X12,https://www.iana.org/assignments/media-types/application/EDI-X12
efi,https://www.iana.org/assignments/media-types/application/efi
EmergencyCallData.cap+xml,https://www.iana.org/assignments/media-types/application/EmergencyCallData.cap+xml
EmergencyCallData.Comment+xml,https://www.iana.org/assignments/media-types/application/EmergencyCallData.Comment+xml
EmergencyCallData.Control+xml,https://www.iana.org/assignments/media-types/application/EmergencyCallData.Control+xml
EmergencyCallData.DeviceInfo+xml,https://www.iana.org/assignments/media-types/application/EmergencyCallData.DeviceInfo+xml
EmergencyCallData.eCall.MSD,https://www.iana.org/assignments/media-types/application/EmergencyCallData.eCall.MSD
EmergencyCallData.ProviderInfo+xml,https://www.iana.org/assignments/media-types/application/EmergencyCallData.ProviderInfo+xml
EmergencyCallData.ServiceInfo+xml,https://www.iana.org/assignments/media-types/application/EmergencyCallData.ServiceInfo+xml
EmergencyCallData.SubscriberInfo+xml,https://www.iana.org/assignments/media-types/application/EmergencyCallData.SubscriberInfo+xml
EmergencyCallData.VEDS+xml,https://www.iana.org/assignments/media-types/application/EmergencyCallData.VEDS+xml
emma+xml,https://www.iana.org/assignments/media-types/application/emma+xml
emotionml+xml,https://www.iana.org/assignments/media-types/application/emotionml+xml
encaprtp,https://www.iana.org/assignments/media-types/application/encaprtp
epp+xml,https://www.iana.org/assignments/media-types/application/epp+xml
epub+zip,https://www.iana.org/assignments/media-types/application/epub+zip
eshop,https://www.iana.org/assignments/media-types/application/eshop
example,https://www.iana.org/assignments/media-types/application/example
exi,https://www.iana.org/assignments/media-types/application/exi
expect-ct-report+json,https://www.iana.org/assignments/media-types/application/expect-ct-report+json
fastinfoset,https://www.iana.org/assignments/media-types/application/fastinfoset
fastsoap,https://www.iana.org/assignments/media-types/application/fastsoap
fdt+xml,https://www.iana.org/assignments/media-types/application/fdt+xml
fhir+json,https://www.iana.org/assignments/media-types/application/fhir+json
fhir+xml,https://www.iana.org/assignments/media-types/application/fhir+xml
fits,https://www.iana.org/assignments/media-types/application/fits
flexfec,https://www.iana.org/assignments/media-types/application/flexfec
font-sfnt - DEPRECATED in favor of font/sfnt,https://www.iana.org/assignments/media-types/application/font-sfnt
font-tdpfr,https://www.iana.org/assignments/media-types/application/font-tdpfr
font-woff - DEPRECATED in favor of font/woff,https://www.iana.org/assignments/media-types/application/font-woff
framework-attributes+xml,https://www.iana.org/assignments/media-types/application/framework-attributes+xml
geo+json,https://www.iana.org/assignments/media-types/application/geo+json
geo+json-seq,https://www.iana.org/assignments/media-types/application/geo+json-seq
geopackage+sqlite3,https://www.iana.org/assignments/media-types/application/geopackage+sqlite3
geoxacml+xml,https://www.iana.org/assignments/media-types/application/geoxacml+xml
gltf-buffer,https://www.iana.org/assignments/media-types/application/gltf-buffer
gml+xml,https://www.iana.org/assignments/media-types/application/gml+xml
gzip,https://www.iana.org/assignments/media-types/application/gzip
H224,https://www.iana.org/assignments/media-types/application/H224
held+xml,https://www.iana.org/assignments/media-types/application/held+xml
http,https://www.iana.org/assignments/media-types/application/http
hyperstudio,https://www.iana.org/assignments/media-types/application/hyperstudio
ibe-key-request+xml,https://www.iana.org/assignments/media-types/application/ibe-key-request+xml
ibe-pkg-reply+xml,https://www.iana.org/assignments/media-types/application/ibe-pkg-reply+xml
ibe-pp-data,https://www.iana.org/assignments/media-types/application/ibe-pp-data
iges,https://www.iana.org/assignments/media-types/application/iges
im-iscomposing+xml,https://www.iana.org/assignments/media-types/application/im-iscomposing+xml
index,https://www.iana.org/assignments/media-types/application/index
index.cmd,https://www.iana.org/assignments/media-types/application/index.cmd
index.obj,https://www.iana.org/assignments/media-types/application/index.obj
index.response,https://www.iana.org/assignments/media-types/application/index.response
index.vnd,https://www.iana.org/assignments/media-types/application/index.vnd
inkml+xml,https://www.iana.org/assignments/media-types/application/inkml+xml
IOTP,https://www.iana.org/assignments/media-types/application/IOTP
ipfix,https://www.iana.org/assignments/media-types/application/ipfix
ipp,https://www.iana.org/assignments/media-types/application/ipp
ISUP,https://www.iana.org/assignments/media-types/application/ISUP
its+xml,https://www.iana.org/assignments/media-types/application/its+xml
javascript,https://www.iana.org/assignments/media-types/application/javascript
jf2feed+json,https://www.iana.org/assignments/media-types/application/jf2feed+json
jose,https://www.iana.org/assignments/media-types/application/jose
jose+json,https://www.iana.org/assignments/media-types/application/jose+json
jrd+json,https://www.iana.org/assignments/media-types/application/jrd+json
json,https://www.iana.org/assignments/media-types/application/json
json-patch+json,https://www.iana.org/assignments/media-types/application/json-patch+json
json-seq,https://www.iana.org/assignments/media-types/application/json-seq
jwk+json,https://www.iana.org/assignments/media-types/application/jwk+json
jwk-set+json,https://www.iana.org/assignments/media-types/application/jwk-set+json
jwt,https://www.iana.org/assignments/media-types/application/jwt
kpml-request+xml,https://www.iana.org/assignments/media-types/application/kpml-request+xml
kpml-response+xml,https://www.iana.org/assignments/media-types/application/kpml-response+xml
ld+json,https://www.iana.org/assignments/media-types/application/ld+json
lgr+xml,https://www.iana.org/assignments/media-types/application/lgr+xml
link-format,https://www.iana.org/assignments/media-types/application/link-format
